,score
22438,13
9914,6
33239,11
32818,677
28327,0
33210,0
18122,3
12383,4
17168,6
27417,11
25774,6
23510,2341
21748,0
29346,14
12790,15
7979,7
16204,25
9362,7
27668,13
12460,3
30140,1
17259,0
2786,17
32349,1
238,6
13599,612
35974,77
13497,2
5033,10
30617,1
12083,57
21826,21
18137,1
15988,2
94,2
29778,3
16726,0
12942,43
32865,2
3154,3
12256,0
28448,5
14008,68
13129,1
19967,40
10402,1
4683,3
34108,1148
703,32
15913,3
20580,20
2699,1
544,1
13623,2
28798,2
15886,2
32902,277
9829,3
12483,696
17449,1
28265,15
32886,0
5285,13
35244,0
6025,0
8823,21
10117,10
8097,3
9594,6
34493,67
2988,6
3488,7
13464,5
3511,2
27197,4
18370,2
21757,0
4241,17
17117,8
11814,13
30149,1
21819,153
34469,2
8946,2
26695,7
9847,7
21366,16
33907,6
9042,0
30936,2
165,9
175,1
23014,28
18409,1
32037,0
28061,14
30000,0
33151,8
15828,2
9544,280
24403,0
13368,44
988,0
22536,3
23416,28
30877,22
6830,2
15864,3
14728,70
4114,37
4480,7
31734,1
4689,6
29606,3
25118,61
16857,0
11683,216
32398,6
27452,9
17085,1
8405,1
9996,10
2526,1
20485,130
33065,13
14787,11
25747,5
308,3
9117,6
1347,2
30521,2
22843,0
11799,14
25320,36
14764,162
12717,8
27989,13
8379,125
30771,7
7399,5
13001,53
34425,72
3496,3
9558,5
30182,0
32213,0
8770,1
10496,20
6451,3
28577,1
14351,12
28625,4
6251,1
7591,2
32777,5
6164,3
12800,44
10458,42
490,20
33911,154
15832,1
27451,12
19574,27
26991,211
8387,0
13246,10
6640,19
18490,6
32925,40
36491,5
17362,1
34430,2
22190,49
11313,2425
22838,0
15555,1
26915,13
30248,1
221,1
33883,5
19811,1209
24809,18
19920,2
7894,14
5833,1
8610,1
25252,59
30930,0
8657,2
6534,11
3296,2
6695,0
11812,363
17874,2
26418,8
20581,23
6117,1
6316,9
27468,6
20394,240
30561,3
24369,25
